attendance_pct,assignment_score,quiz_score,midterm_score,study_hours,final_score,pass_fail
52.91,91.83,79.74,72.87,6.39,80.58,1
45.77,53.41,31.86,60.54,10.37,39.16,0
57.63,71.5,33.46,99.0,18.04,53.2,1
52.25,86.48,72.11,32.04,21.82,62.14,1
82.27,85.95,64.03,55.93,13.84,58.72,1
51.7,63.5,48.21,90.67,5.53,59.0,1
72.85,65.96,59.31,46.3,4.02,47.68,0
83.18,99.66,83.05,84.08,29.99,81.1,1
76.96,78.85,87.86,53.71,14.21,59.98,1
55.99,87.95,69.29,98.5,26.3,73.57,1
89.23,93.67,56.98,91.26,14.99,78.54,1
84.35,86.19,48.95,47.6,27.75,53.16,1
85.64,47.04,66.53,82.76,3.55,57.36,1
52.21,71.54,52.03,50.26,4.31,46.96,0
51.81,41.62,69.49,70.48,27.96,47.81,0
96.02,77.44,77.37,74.39,28.48,70.39,1
66.87,97.1,34.63,87.22,10.13,66.6,1
61.55,68.33,30.07,26.83,11.3,38.3,0
71.87,63.14,44.86,41.51,14.12,47.87,0
81.46,37.33,92.62,78.39,13.07,65.92,1
97.56,97.39,75.24,67.26,6.51,67.55,1
60.75,41.7,42.04,62.17,27.05,53.91,1
95.86,37.67,92.32,29.14,8.35,60.49,1
46.37,50.99,62.9,51.12,21.45,47.53,0
75.54,39.26,63.33,89.88,2.95,62.7,1
79.87,64.58,95.49,27.32,2.12,51.45,1
50.82,68.55,34.16,54.73,19.96,52.03,1
52.72,55.32,45.06,95.89,10.83,69.72,1
68.05,38.31,71.0,28.82,20.01,49.02,0
98.14,42.25,43.68,81.23,3.73,46.87,0
77.78,59.99,77.57,44.32,28.55,60.45,1
96.32,38.93,44.99,90.0,22.71,70.88,1
89.24,80.38,36.94,80.96,26.41,65.06,1
70.71,48.46,44.49,91.43,4.96,64.23,1
88.16,54.63,59.59,41.19,10.28,47.68,0
45.98,60.62,42.33,64.85,11.68,41.88,0
51.0,62.08,39.43,83.45,16.58,59.08,1
90.62,35.11,90.22,43.43,9.61,44.32,0
88.82,42.28,52.43,42.31,2.76,44.43,0
57.8,91.08,55.25,27.04,11.7,57.63,1
74.19,35.08,33.87,96.89,8.38,45.29,0
78.33,68.03,55.02,78.25,12.19,56.18,1
92.73,66.82,48.54,72.67,6.71,54.8,1
78.17,56.65,72.73,80.8,8.59,64.3,1
67.69,63.04,44.38,64.87,19.18,54.15,1
65.58,85.74,92.19,60.71,12.26,76.07,1
68.42,89.68,95.08,58.71,11.02,74.19,1
80.86,51.92,36.99,73.03,16.48,60.04,1
92.71,55.96,37.52,40.12,23.38,50.76,1
69.96,50.76,38.07,91.6,11.99,62.06,1
58.63,66.19,73.37,85.88,18.04,62.55,1
58.02,79.41,38.54,51.22,29.02,58.05,1
86.03,49.84,89.67,68.4,16.14,59.9,1
89.91,56.5,82.8,35.58,27.38,62.28,1
50.79,95.48,87.39,97.93,24.02,85.94,1
48.66,38.16,66.82,92.72,2.7,58.27,1
77.69,64.95,99.77,94.14,13.44,76.22,1
53.04,81.25,33.09,49.91,21.25,53.45,1
90.36,44.78,58.09,37.69,29.61,33.51,0
62.07,38.08,52.68,40.88,14.29,46.26,0
52.91,43.98,96.41,31.75,3.69,46.08,0
95.65,94.72,70.38,34.01,17.3,62.52,1
54.1,35.6,86.43,30.35,4.67,47.41,0
60.66,47.24,41.92,99.24,22.79,61.5,1
53.45,37.03,98.5,30.55,15.72,42.64,0
51.35,42.19,64.9,34.94,21.98,44.01,0
46.16,75.31,64.56,87.04,26.21,66.67,1
48.05,50.71,97.96,68.52,19.24,63.44,1
54.61,72.0,56.65,83.08,18.76,65.07,1
47.94,73.36,57.83,72.32,22.88,66.61,1
77.51,90.21,70.93,91.16,25.43,69.94,1
82.44,35.31,38.96,72.89,26.2,55.39,1
66.65,90.47,52.48,64.16,2.06,66.25,1
62.49,75.24,43.52,78.46,17.13,51.51,1
72.75,45.58,37.23,58.55,7.27,48.52,0
93.13,85.24,90.63,50.95,25.95,66.17,1
91.81,90.61,71.25,60.07,19.8,67.19,1
47.39,51.53,55.11,37.73,13.19,38.68,0
54.98,94.72,58.61,84.74,6.46,65.45,1
58.02,64.54,60.21,44.55,10.83,61.64,1
58.72,74.22,74.32,36.51,21.41,47.13,0
76.42,99.0,94.87,43.48,6.93,58.55,1
67.89,58.5,95.29,88.16,3.71,60.8,1
47.71,87.86,57.4,49.77,26.75,66.75,1
65.55,55.7,53.05,76.45,23.16,56.99,1
73.81,86.95,61.57,89.23,6.79,69.63,1
50.59,74.05,69.76,30.83,9.48,46.31,0
90.84,49.06,62.33,82.38,29.19,60.2,1
47.86,61.91,76.11,48.07,21.54,53.05,1
95.87,55.65,68.81,41.25,18.71,71.64,1
50.45,40.08,52.45,76.67,9.92,60.7,1
91.4,36.94,54.2,93.23,9.67,57.98,1
94.65,57.52,56.5,47.13,2.15,55.73,1
98.88,36.24,36.62,67.66,22.13,49.96,0
89.11,45.76,41.62,46.74,2.25,34.95,0
87.87,82.14,80.62,66.57,1.14,72.2,1
80.34,81.03,57.24,71.64,22.16,73.41,1
87.84,83.01,45.02,70.78,28.52,71.54,1
52.4,55.61,69.39,71.77,22.94,56.82,1
74.48,92.85,82.89,35.13,14.68,60.7,1
73.28,73.6,48.02,77.02,15.1,67.9,1
92.17,43.19,87.88,75.61,13.65,69.57,1
70.45,44.34,94.93,76.19,10.41,62.35,1
66.18,80.05,71.82,30.56,16.13,45.0,0
80.18,46.24,76.83,58.51,13.5,59.33,1
59.66,67.97,33.68,55.68,18.35,57.71,1
52.69,99.47,96.19,31.5,27.05,54.55,1
71.28,35.26,57.47,41.68,29.86,50.83,1
67.93,36.08,94.67,58.07,3.28,56.83,1
57.79,99.55,70.53,80.72,12.16,75.41,1
65.21,73.0,30.32,42.78,6.24,50.57,1
65.15,43.25,32.7,87.23,11.21,50.66,1
63.01,93.32,77.63,65.93,9.34,56.8,1
65.87,92.22,69.39,82.03,6.06,65.61,1
82.72,69.85,31.86,60.44,23.16,61.47,1
61.33,75.42,82.04,62.44,15.39,61.25,1
97.19,52.76,89.65,71.48,27.66,65.59,1
95.4,38.28,64.75,94.6,1.95,53.01,1
71.45,73.65,62.6,61.89,2.94,68.02,1
63.06,54.16,30.38,64.65,12.69,54.91,1
74.45,78.14,85.07,70.15,3.33,70.57,1
91.67,89.36,53.15,80.31,8.62,75.0,1
80.89,36.18,91.51,30.39,29.59,55.5,1
89.24,73.72,56.11,63.68,7.06,59.32,1
74.3,50.03,69.56,61.12,6.75,54.64,1
79.81,91.8,48.92,94.13,17.64,71.04,1
60.85,51.49,41.24,62.01,15.44,67.18,1
85.42,74.7,84.24,60.12,17.83,71.22,1
56.13,70.98,64.76,97.16,11.93,65.87,1
83.21,60.75,67.55,58.79,24.98,63.82,1
92.34,79.05,97.58,38.57,5.02,56.34,1
52.27,82.18,97.45,41.27,13.42,69.6,1
78.79,71.85,89.89,32.14,21.0,55.09,1
50.23,84.3,43.13,25.04,26.18,48.79,0
84.91,98.92,71.6,57.4,11.72,74.32,1
49.65,62.25,91.47,82.69,17.46,70.56,1
96.48,68.45,56.21,80.01,3.01,64.97,1
52.56,35.81,37.08,27.41,5.94,32.71,0
97.74,86.74,86.77,67.75,3.01,70.34,1
89.05,68.81,63.72,36.57,22.11,52.63,1
77.65,61.52,69.51,95.58,9.35,66.92,1
88.04,41.11,98.75,37.55,21.99,66.57,1
88.73,92.83,72.5,72.0,2.93,68.29,1
97.03,60.68,59.75,49.47,26.01,54.02,1
58.94,79.37,55.9,73.12,25.23,59.98,1
77.45,44.71,59.23,55.92,3.58,56.97,1
50.23,97.5,38.29,81.97,1.69,63.89,1
78.89,46.6,85.63,42.3,2.63,55.2,1
54.42,47.97,88.64,92.93,25.76,67.07,1
76.07,90.83,49.91,62.52,7.81,64.33,1
76.48,94.32,51.27,81.71,16.9,66.49,1
70.63,48.79,91.2,88.73,13.36,68.06,1
73.74,65.54,31.68,99.91,24.07,71.55,1
87.02,82.68,66.43,41.8,15.18,65.67,1
88.96,92.09,62.46,46.52,15.52,57.44,1
72.07,59.64,78.31,43.78,29.68,51.65,1
77.98,68.61,41.44,44.72,5.35,49.54,0
96.22,83.21,76.78,68.68,25.09,82.64,1
51.59,82.52,56.37,99.51,2.5,54.7,1
51.44,85.89,73.31,99.27,14.85,75.91,1
49.82,72.05,32.81,64.51,26.7,44.79,0
81.18,41.8,62.32,72.93,20.29,56.32,1
68.02,93.76,66.56,89.5,20.87,72.18,1
87.59,91.26,45.0,94.97,8.64,69.21,1
81.92,86.88,39.77,40.29,13.14,50.84,1
63.35,41.49,43.19,64.64,11.63,49.71,0
94.41,48.29,54.09,87.46,16.12,62.91,1
86.94,83.33,36.78,47.74,14.4,47.36,0
59.88,36.5,96.31,57.99,10.48,61.08,1
65.03,98.65,58.35,98.92,9.86,78.6,1
62.29,59.51,86.63,98.88,8.27,76.03,1
53.67,81.76,98.21,92.96,11.59,66.51,1
53.13,92.69,35.65,84.88,5.35,62.66,1
96.49,60.65,75.62,45.18,26.29,64.59,1
69.08,55.74,91.0,49.06,18.46,53.49,1
66.08,74.57,74.4,66.05,4.88,61.18,1
85.13,72.76,60.03,67.06,21.12,64.0,1
75.41,61.59,60.18,62.91,25.58,70.84,1
96.49,74.12,32.51,72.75,7.89,71.77,1
87.92,95.8,67.42,55.62,5.37,54.3,1
71.37,65.4,99.55,81.19,1.25,83.43,1
65.7,47.79,97.11,50.02,2.37,49.13,0
99.26,59.52,32.83,49.8,23.11,59.43,1
84.48,60.62,79.41,34.54,29.63,62.11,1
97.32,43.52,51.12,39.15,2.3,40.06,0
51.52,45.59,93.21,88.79,22.69,70.33,1
91.78,79.5,33.16,58.47,3.08,54.21,1
80.04,57.07,95.51,42.09,18.17,63.72,1
51.71,97.07,88.62,81.95,22.93,76.11,1
77.35,50.83,38.23,66.55,11.42,60.33,1
82.74,41.43,34.19,26.59,1.32,36.4,0
45.68,83.98,88.43,48.73,18.26,60.19,1
69.99,92.27,40.9,38.28,29.75,60.44,1
90.4,53.08,67.44,74.19,8.47,66.2,1
61.24,48.14,94.1,45.63,6.5,57.86,1
70.22,47.07,69.72,29.87,4.59,40.38,0
69.33,68.93,57.81,29.12,17.1,43.46,0
61.61,65.45,61.15,68.63,18.3,56.99,1
95.51,51.86,34.42,26.63,23.98,41.1,0
87.97,37.94,97.81,88.66,22.84,76.91,1
51.08,66.3,51.75,36.65,26.88,53.37,1
99.84,97.36,43.26,70.49,24.37,68.56,1
93.36,77.41,50.02,58.35,8.17,68.28,1
60.61,67.21,97.51,58.21,17.12,72.96,1
91.03,42.19,36.6,30.38,9.62,43.17,0
50.85,51.41,90.71,85.21,10.56,60.17,1
99.95,54.16,79.55,91.98,28.03,84.03,1
81.61,84.71,88.1,25.83,20.77,59.44,1
80.76,91.99,98.31,38.4,29.26,67.7,1
49.97,93.61,88.95,92.79,13.09,74.13,1
94.34,99.0,96.04,66.21,16.59,72.93,1
46.59,98.85,38.89,36.25,15.13,41.59,0
58.25,96.94,85.71,40.21,4.11,62.48,1
52.87,39.67,68.2,74.5,7.86,49.75,0
87.72,43.96,68.04,79.36,16.3,82.97,1
55.9,54.79,92.92,69.96,2.95,53.37,1
95.09,70.94,98.03,96.49,28.01,74.71,1
81.09,41.3,79.34,62.05,4.59,59.49,1
46.99,89.98,63.81,47.52,6.74,63.46,1
45.3,75.09,61.95,60.79,23.19,58.08,1
47.84,70.25,57.04,51.97,3.81,52.92,1
78.33,45.75,55.31,41.83,27.11,38.7,0
89.08,51.46,57.41,28.45,22.05,44.85,0
58.12,45.42,36.28,51.42,2.99,35.03,0
91.72,90.38,35.42,78.36,21.06,56.3,1
48.15,72.97,84.59,26.38,19.32,52.6,1
89.05,82.78,61.23,57.94,22.96,51.33,1
96.03,54.24,95.15,73.3,25.02,63.59,1
87.47,59.13,72.86,70.78,21.83,62.78,1
83.4,61.32,32.46,83.25,18.0,56.5,1
91.09,84.4,41.03,85.79,10.35,70.28,1
47.21,85.2,44.41,78.38,21.22,63.6,1
56.1,48.44,98.3,32.71,28.75,58.19,1
51.87,96.2,45.31,60.63,18.04,64.03,1
72.75,42.84,66.1,70.26,20.27,65.87,1
85.99,93.25,95.53,43.42,13.68,68.18,1
79.65,41.53,98.4,28.19,22.93,55.46,1
91.81,52.2,46.55,41.77,29.93,54.37,1
53.54,90.02,33.44,59.12,5.65,53.17,1
85.4,46.67,40.75,56.04,6.87,46.99,0
55.62,61.88,34.43,38.25,16.64,42.34,0
59.89,64.24,43.66,86.83,14.96,56.64,1
84.04,50.94,69.8,94.43,17.58,72.86,1
98.91,81.17,93.87,40.1,2.42,62.11,1
78.63,90.34,67.61,94.72,12.72,72.02,1
48.0,91.85,73.82,26.34,17.91,49.51,0
78.9,57.06,44.13,94.37,17.97,58.37,1
47.33,69.51,86.04,96.39,20.06,78.25,1
93.63,51.15,73.25,25.9,21.89,52.42,1
84.03,50.91,90.49,82.23,19.6,65.63,1
54.52,45.48,96.42,97.77,23.92,75.99,1
50.04,96.1,54.35,92.94,19.12,67.37,1
55.09,92.72,36.34,97.8,16.59,60.23,1
98.9,85.53,45.82,66.27,18.58,72.36,1
70.22,68.65,60.65,30.86,3.93,43.73,0
88.12,66.89,96.2,88.73,8.92,72.95,1
80.0,69.43,56.48,71.04,16.29,63.99,1
76.48,69.88,83.95,71.11,26.32,75.68,1
52.98,63.25,67.83,56.29,20.69,56.42,1
97.03,43.56,42.8,67.89,3.62,46.19,0
61.57,43.17,52.45,36.52,18.18,47.83,0
76.79,96.9,75.72,80.48,7.43,69.73,1
83.49,66.33,77.1,30.63,22.29,66.97,1
80.71,96.96,60.43,79.73,25.0,72.75,1
96.73,45.63,46.01,88.67,18.21,51.28,1
53.16,71.04,80.53,60.44,18.15,63.81,1
72.96,48.5,41.82,63.24,10.82,63.22,1
67.22,51.46,95.57,48.42,13.94,68.07,1
71.08,36.95,43.15,97.71,26.06,72.23,1
51.56,42.73,37.51,79.98,21.98,46.91,0
52.38,94.6,64.84,52.67,16.07,66.27,1
60.29,55.9,66.37,38.11,11.68,44.45,0
61.76,74.53,65.57,41.47,2.46,51.88,1
68.53,65.23,60.57,59.79,5.15,47.44,0
78.6,61.03,99.64,95.69,6.6,70.94,1
79.9,69.57,64.04,80.06,11.83,62.57,1
67.65,47.17,63.46,41.14,28.38,55.26,1
67.48,99.26,59.52,89.47,15.65,78.69,1
56.97,88.19,34.68,53.37,7.81,53.37,1
77.36,83.2,71.51,88.88,4.07,62.45,1
62.44,65.47,45.96,43.13,10.81,46.29,0
46.98,44.94,74.63,71.4,24.66,53.15,1
68.01,94.84,33.56,94.5,12.12,73.45,1
71.08,57.19,98.7,44.34,23.4,67.46,1
57.41,38.26,62.83,76.97,24.28,63.51,1
76.49,57.26,92.77,99.05,4.21,68.05,1
76.12,86.64,63.29,36.29,18.65,41.1,0
83.61,75.48,34.22,31.63,28.81,38.62,0
80.64,83.8,87.55,75.56,12.66,81.75,1
80.88,86.59,75.37,50.48,2.48,58.08,1
62.39,48.78,84.72,30.34,27.78,45.91,0
88.31,95.05,59.97,60.65,26.63,77.55,1
75.2,63.47,74.66,81.53,16.14,76.21,1
68.73,76.54,89.94,46.38,17.02,62.92,1
79.43,35.15,74.17,50.13,7.14,49.41,0
64.84,99.57,54.34,88.43,24.76,71.49,1
73.2,53.26,76.38,64.01,15.46,62.57,1
